date,returns
2022-01-03,0.0
2022-01-04,-0.013600124720645757
2022-01-05,-0.05011385305206861
2022-01-06,-0.0016664142196892717
2022-01-07,-0.014882995712858338
2022-01-10,-0.0007828940196301648
2022-01-11,0.02418201037891543
2022-01-12,0.006783331007883753
2022-01-13,-0.03925975647326385
2022-01-14,0.007042524570781472
2022-01-18,-0.04328208461021854
2022-01-19,-0.020673152557093122
2022-01-20,-0.024025835225564895
2022-01-21,-0.046643448279078736
2022-01-24,0.007349592565566443
2022-01-25,-0.035353346175477474
2022-01-26,-0.00306129074115824
2022-01-27,-0.015454614766778119
2022-01-28,0.05571669261657708
2022-01-31,0.05086434965876396
2022-02-01,0.013666477745250427
2022-02-02,0.017547929405455243
2022-02-03,-0.06493493085852975
2022-02-04,0.017771898402529906
2022-02-07,-0.011746194085688777
2022-02-08,0.0196365018148017
2022-02-09,0.035707940713889386
2022-02-10,-0.04074822931391764
2022-02-11,-0.050691116452991514
2022-02-14,-0.0026016389702682163
2022-02-15,0.04063078888849847
2022-02-16,0.0006285013378547477
2022-02-17,-0.0509169761584074
2022-02-18,-0.01857158128955705
2022-02-22,-0.02018664265371284
2022-02-23,-0.044027283424299846
2022-02-24,0.048561301320832584
2022-02-25,0.03787973786510457
2022-02-28,0.0005362519025676749
2022-03-01,-0.030784915864669804
2022-03-02,0.035422132297863396
2022-03-03,-0.019539533193640324
2022-03-04,-0.02242601307313319
2022-03-07,-0.06639928162093589
2022-03-08,-0.01188184597690245
2022-03-09,0.061696342560198625
2022-03-10,-0.01539662671817299
2022-03-11,-0.033699901585049985
2022-03-14,-0.0266256281933549
2022-03-15,0.05277539080212068
2022-03-16,0.0594705011228196
2022-03-17,0.024454055901608207
2022-03-18,0.032130265281433035
2022-03-21,-0.004446164818231346
2022-03-22,0.03095677912482553
2022-03-23,-0.02664407094742538
2022-03-24,0.03657057813579123
2022-03-25,0.004232060187747244
2022-03-28,0.02261732890719159
2022-03-29,0.029466266854986545
2022-03-30,-0.01733927272931657
2022-03-31,-0.028047288154839256
2022-04-01,0.0015069776316823935
2022-04-04,0.02867952944037433
2022-04-05,-0.03475584200543458
2022-04-06,-0.0314283433797482
2022-04-07,0.0066312272031670005
2022-04-08,-0.01663016266310302
2022-04-11,-0.0405346848978837
2022-04-12,-0.007641691255327765
2022-04-13,0.03150155844375924
2022-04-14,-0.03501121822021658
2022-04-18,0.0005634139936967486
2022-04-19,0.0384084481054201
2022-04-20,-0.015202943875717856
2022-04-21,-0.03544401187692847
2022-04-22,-0.05392589940959169
2022-04-25,0.01854364305233136
2022-04-26,-0.06589123358015414
2022-04-27,0.0008998225177786479
2022-04-28,0.06026274693859657
2022-04-29,-0.08128316362964494
2022-05-02,0.022371207652986058
2022-05-03,0.00590468580801895
2022-05-04,0.06367459890150617
2022-05-05,-0.08601380386501811
2022-05-06,-0.01765505551341051
2022-05-09,-0.07116404033653012
2022-05-10,0.014606697528234847
2022-05-11,-0.046121450415572585
2022-05-12,-0.0036602821116304973
2022-05-13,0.060929660290383714
2022-05-16,-0.01553810779747622
2022-05-17,0.04607102254143225
2022-05-18,-0.08948562927595394
2022-05-19,-0.011192124858217745
2022-05-20,-0.002961786741346506
2022-05-23,0.03518251129135774
2022-05-24,-0.02938296375578775
2022-05-25,0.023446098489684486
2022-05-26,0.04759037879327388
2022-05-27,0.05738189135696148
2022-05-31,-0.008927255411663615
2022-06-01,-0.014878638631582897
2022-06-02,0.045816654910422416
2022-06-03,-0.04236675717815641
2022-06-06,0.00646852087365124
2022-06-07,0.018149113783725745
2022-06-08,-0.01799044917086856
2022-06-09,-0.050583313530378704
2022-06-10,-0.0643808369823784
2022-06-13,-0.08526473604557172
2022-06-14,-0.0019582046602997227
2022-06-15,0.0395643581423355
2022-06-16,-0.07285839292041774
2022-06-17,0.014360442745492641
2022-06-21,0.047739771218403115
2022-06-22,-0.002760136296599547
2022-06-23,0.024425125364439415
2022-06-24,0.06482686753324174
2022-06-27,-0.010304707431838978
2022-06-28,-0.050609793778749745
2022-06-29,0.00020515957853917133
2022-06-30,-0.02116234086516733
2022-07-01,0.017154378149116356
2022-07-05,0.018703848106882637
2022-07-06,0.009985195210004072
2022-07-07,0.036363561145911216
2022-07-08,0.0004240341973734685
2022-07-11,-0.03289193553212333
2022-07-12,-0.018931182300803484
2022-07-13,-0.006518097167113268
2022-07-14,0.0005722379796780919
2022-07-15,0.037340508597877964
2022-07-18,-0.01682624764217644
2022-07-19,0.058381553858079194
2022-07-20,0.021752363953536857
2022-07-21,0.024216407263659923
2022-07-22,-0.02686781268138838
2022-07-25,-0.0043803900112837635
2022-07-26,-0.031192165636562685
2022-07-27,0.0684160239196796
2022-07-28,0.021911377300460444
2022-07-29,0.0324447244833701
2022-08-01,-0.0034253869438871654
2022-08-02,-0.009643974750003337
2022-08-03,0.04287109397300304
2022-08-04,0.0038991105762711253
2022-08-05,-0.009794654648957013
2022-08-08,-0.004469900513821123
2022-08-09,-0.015567345194830384
2022-08-10,0.049201595375289786
2022-08-11,-0.00638155822518216
2022-08-12,0.03679295732559673
2022-08-15,0.012050848209902654
2022-08-16,-0.0004662370101782276
2022-08-17,-0.018643863808209482
2022-08-18,0.004674531088325828
2022-08-19,-0.03239712653930904
2022-08-22,-0.04772726675844585
2022-08-23,-0.0030648739392010738
2022-08-24,0.005813338556541092
2022-08-25,0.03177350969242365
2022-08-26,-0.07467621980641592
2022-08-29,-0.016521933327590776
2022-08-30,-0.022164500000524057
2022-08-31,-0.01363059252298593
2022-09-01,0.0034306387058780086
